customer_id,age,gender,location,monthly_income,monthly_emi_outflow,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,target_credit_score_movement
15,18,Female,Semi-Urban,76805.25,12604.03,198018.4,0.67,6,71.36,1,0,80491.74,331624.35,547665.07,7,increase
16,29,Female,Urban,39545.59,8313.43,21739.86,0.65,0,50.85,0,1,25104.55,429011.22,441951.65,53,stable
17,24,Female,Urban,54748.43,28001.69,258720.78,0.32,1,41.55,4,0,10770.82,355709.79,414682.71,5,stable
18,38,Female,Rural,33359.32,20275.87,191813.87,0.49,3,73.63,0,1,5336.41,238529.05,147418.75,15,stable
19,25,Male,Semi-Urban,37555.32,20576.91,287632.33,0.86,4,13.58,1,0,66385.77,88692.17,121923.74,6,stable
20,20,Female,Urban,44172.99,8330.71,94882.5,0.89,1,5.48,3,2,42377.25,36458.91,691058.62,26,stable
21,49,Female,Rural,30988.21,15738.41,238752.91,0.24,2,60.75,2,0,44858.48,148746.34,253723.02,56,stable
22,32,Female,Urban,52236.84,24912.14,211422.92,0.52,3,0.09,2,0,69050.32,94276.74,141457.51,20,stable
23,35,Male,Urban,27256.86,11506.79,107394.41,0.58,1,89.73,0,3,78491.46,352586.33,239338.18,16,stable
24,20,Male,Urban,50841.25,22291.44,207909.96,0.86,5,62.97,1,2,80301.76,118873.48,197073.17,21,stable
25,29,Female,Semi-Urban,51017.31,23686.65,187209.86,0.11,3,50.81,2,0,76492.73,450691.82,276272.63,56,stable
26,36,Female,Rural,52174.41,10883.93,37098.37,0.22,5,43.93,0,1,90384.65,73576.22,906690.28,31,stable
27,23,Female,Semi-Urban,62225.82,18635.4,190813.69,0.2,1,16.26,3,0,48001.04,74398.81,948784.19,44,stable
28,38,Female,Urban,65198.57,30475.71,534820.11,0.71,2,71.6,0,1,64956.13,223632.47,399348.32,33,stable
29,28,Male,Semi-Urban,36984.78,5461.19,52741.96,0.14,3,8.72,5,4,74985.52,113724.59,394170.35,28,stable
30,32,Female,Urban,55965.34,29442.63,134903.98,0.43,0,97.07,1,0,17829.65,90201.93,696267.79,60,stable
31,28,Female,Semi-Urban,50137.7,27440.55,206593.4,0.93,1,46.9,3,0,9669.58,241251.77,419699.43,16,stable
32,53,Female,Rural,64376.56,11992.66,187665.84,0.99,5,3.72,2,2,44735.76,268302.57,274333.24,41,stable
33,34,Male,Semi-Urban,42414.41,11470.81,75485.93,0.53,6,90.33,1,0,11696.0,85658.25,955298.54,53,increase
34,24,Male,Rural,24135.45,5760.03,17643.83,0.99,4,69.25,2,0,3776.83,372648.06,912839.6,18,stable
35,43,Male,Urban,46892.37,10595.47,31569.64,0.2,3,60.88,1,3,45201.4,445472.49,196783.52,33,stable
36,22,Male,Rural,49352.58,15793.03,204119.25,0.37,1,91.27,1,0,94427.23,439351.35,952565.13,45,stable
37,37,Male,Urban,67544.17,37335.23,678055.46,0.76,1,42.08,3,0,22833.41,286665.68,70507.55,24,stable
38,18,Female,Semi-Urban,62914.7,21644.75,144621.82,0.56,1,66.61,0,2,17957.13,407668.42,604096.36,35,stable
39,21,Male,Semi-Urban,31244.81,13150.8,260161.74,0.45,3,7.36,0,0,32504.11,485040.07,676586.44,29,stable
40,36,Female,Rural,67315.8,11685.73,69696.48,0.96,3,94.54,4,1,99583.86,284688.96,162300.15,35,increase
41,42,Female,Semi-Urban,36105.29,16921.53,139256.49,0.29,7,55.12,1,0,87079.22,359895.58,853452.17,1,stable
42,36,Female,Semi-Urban,37283.2,26078.65,271650.39,0.8,4,22.66,3,0,31659.04,448846.47,529856.81,8,stable
43,33,Male,Urban,52259.24,28087.1,110540.37,0.12,2,23.16,0,0,34244.35,409282.67,947032.52,31,stable
44,31,Male,Semi-Urban,52833.78,20655.39,150309.85,0.87,1,36.21,1,0,76499.29,179470.53,893824.74,3,stable
45,20,Male,Urban,47791.6,18294.49,234646.36,0.27,6,99.33,0,0,78667.0,219454.29,319560.89,54,stable
46,27,Female,Rural,47898.88,31302.26,69430.3,0.29,3,46.44,1,1,98546.23,421675.62,398015.9,35,stable
47,30,Female,Semi-Urban,30559.46,10534.19,112739.59,0.49,3,86.63,3,3,27702.83,329986.39,489225.23,14,stable
48,45,Male,Rural,48460.47,25965.77,360132.53,0.06,9,74.14,1,2,49028.24,390497.42,621864.24,26,stable
49,38,Male,Semi-Urban,68191.82,31776.18,234166.62,0.06,2,42.38,1,0,31307.5,403187.33,405434.29,8,stable
50,18,Male,Rural,48728.11,23196.96,410125.12,0.89,3,47.51,1,2,45832.1,253250.06,432934.35,32,stable
51,38,Female,Rural,76849.19,11545.84,80712.44,0.44,2,82.73,5,1,17304.02,31628.03,169959.36,5,increase
52,31,Female,Urban,49989.74,24968.38,459829.76,0.0,4,13.43,1,2,43716.97,43096.58,681273.89,23,stable
53,28,Male,Semi-Urban,37383.11,18138.8,308329.41,0.55,4,41.24,1,1,13375.04,417365.55,370590.9,50,stable
54,41,Female,Rural,36536.5,19912.7,123508.58,0.56,0,24.61,1,0,99151.73,443329.48,522056.12,21,stable
55,45,Female,Urban,66285.37,33572.2,105202.6,0.72,4,83.15,2,2,3180.32,442387.9,931385.48,6,stable
56,44,Male,Rural,54333.61,34116.1,87642.84,0.91,3,14.47,2,1,16119.57,96178.82,101423.65,31,stable
57,26,Female,Rural,28902.36,20187.05,322332.39,0.8,4,78.41,0,1,73269.29,64796.78,151844.22,60,stable
58,31,Female,Rural,52175.37,11196.46,135649.85,0.76,0,50.11,4,1,16883.99,142107.22,762587.7,30,stable
59,38,Female,Semi-Urban,58067.0,36761.46,191040.77,0.24,4,1.12,3,2,55593.76,407250.7,960744.7,52,stable
60,44,Male,Semi-Urban,30547.32,8408.62,41652.88,0.34,3,38.37,2,0,38008.0,358731.07,706424.59,46,stable
61,30,Female,Rural,46537.1,11969.09,105336.87,0.83,6,73.25,4,1,15986.16,181263.43,359485.2,47,increase
62,33,Female,Rural,37223.26,8736.71,31097.33,0.06,4,53.39,0,1,6492.12,300117.69,989885.55,13,stable
63,23,Male,Rural,43269.3,18507.1,267289.57,0.11,3,89.27,0,1,56347.42,425258.13,153846.15,45,stable
64,23,Male,Semi-Urban,35066.47,14593.34,278502.61,0.4,5,57.2,2,1,25521.02,403657.38,922477.36,44,stable
65,43,Female,Rural,20890.64,12749.84,120523.59,0.45,6,81.82,3,0,29744.92,16282.43,850899.52,32,stable
66,48,Female,Rural,29132.61,10587.4,186871.83,0.51,2,57.84,1,0,75912.06,421201.57,582954.11,23,stable
67,34,Female,Rural,64864.54,36979.78,291695.33,0.87,2,61.39,2,0,79875.45,258373.87,858838.38,2,stable
68,45,Male,Rural,41403.94,28344.16,182640.12,0.54,0,58.31,2,0,91123.97,103128.62,708520.11,39,stable
69,38,Male,Semi-Urban,77152.52,16710.29,133985.32,0.08,1,30.85,3,3,67907.43,329040.84,251855.98,56,stable
70,28,Female,Urban,34216.71,5139.41,29598.08,0.23,0,40.03,0,1,20214.3,304548.82,717151.95,56,stable
71,38,Male,Urban,53755.41,16657.73,104259.37,0.8,2,72.01,1,0,63048.88,340033.12,100948.99,31,stable
72,50,Male,Rural,53530.06,36129.18,520650.67,0.94,3,26.53,2,0,41714.84,175511.2,272343.8,40,stable
73,34,Male,Urban,49739.03,28336.66,497750.3,0.4,3,1.54,5,1,54778.51,316700.6,324910.41,16,stable
74,50,Male,Urban,67406.17,25112.09,222463.91,0.41,0,93.78,2,1,13270.78,229790.89,594956.65,36,stable
75,18,Male,Semi-Urban,30926.83,4819.88,60938.63,0.96,0,98.85,2,0,12315.16,484996.8,310352.14,5,increase
76,43,Male,Rural,66602.41,18501.02,90193.07,0.7,4,69.22,3,2,65141.63,467535.28,742752.12,17,stable
77,35,Female,Semi-Urban,44737.25,28279.06,441647.76,0.06,0,69.31,3,0,38152.65,337017.42,990942.9,33,stable
78,32,Female,Urban,56642.34,10897.74,39212.64,0.66,1,9.48,1,2,17572.94,51860.1,692385.96,14,stable
79,35,Female,Urban,47682.34,23487.07,122446.07,0.6,5,46.41,2,0,51170.39,439930.25,241950.47,58,stable
80,18,Male,Rural,72070.32,33718.28,320868.6,0.09,1,44.73,2,3,46376.96,326230.79,337544.8,57,stable
81,32,Female,Rural,36599.31,10480.0,43169.58,0.36,8,51.98,1,1,51698.54,271335.99,617102.47,53,stable
82,38,Female,Semi-Urban,27593.87,12535.41,227276.37,0.18,5,48.34,2,2,22431.02,20344.21,272228.58,40,stable
83,49,Male,Rural,60604.74,32869.11,357092.0,0.3,3,65.09,6,1,2041.76,344776.36,221332.5,40,stable
84,29,Female,Urban,52177.0,7065.14,50416.46,0.26,5,20.78,3,0,96645.22,246406.3,50736.0,8,stable
85,26,Female,Semi-Urban,55201.06,31921.74,143611.68,0.52,6,73.55,4,1,27936.42,466716.73,910950.46,17,stable
86,29,Female,Semi-Urban,68803.86,25881.67,130764.39,0.34,2,5.36,2,2,70731.21,97838.34,235577.92,59,stable
87,44,Female,Rural,53491.03,12477.44,188950.98,0.62,3,29.98,2,3,9270.35,249351.87,569883.8,32,stable
88,38,Male,Rural,45869.94,19428.65,347121.43,0.61,1,92.68,1,0,42800.59,179610.75,748466.69,52,stable
89,29,Female,Urban,49585.71,6713.11,91299.17,0.12,7,57.99,4,0,39639.12,39470.29,124303.29,8,stable
90,40,Male,Semi-Urban,79454.66,48069.54,404984.11,0.89,3,96.27,1,0,42828.23,52772.71,680938.04,7,stable
91,35,Male,Semi-Urban,54929.75,38193.02,255785.73,0.46,2,73.15,1,2,93755.07,465403.51,885931.28,19,stable
92,44,Female,Semi-Urban,61566.92,31188.04,335856.05,0.03,4,78.54,2,2,95948.6,258843.59,539446.12,41,stable
93,27,Male,Semi-Urban,38026.79,11060.92,82109.44,0.17,2,5.25,4,2,17910.62,51346.58,626193.12,53,stable
94,31,Male,Urban,62698.04,39854.42,435210.16,0.8,3,61.07,2,1,14513.21,285443.88,900084.18,53,stable
95,31,Male,Urban,44015.86,12638.79,27829.69,0.97,0,81.21,5,2,29121.26,210149.12,458948.23,27,increase
96,20,Male,Urban,23881.47,7567.87,135344.55,0.84,2,11.5,3,1,41638.73,297682.75,99290.66,2,stable
97,37,Female,Rural,53183.15,34746.8,437492.63,0.77,4,39.93,1,5,64541.17,430308.51,787431.71,28,stable
98,37,Female,Urban,51875.2,24501.99,265058.92,0.94,7,44.03,1,1,47019.22,370332.9,613130.8,56,stable
99,35,Male,Urban,55358.06,18163.79,193293.79,0.56,3,87.69,0,4,87025.42,496930.2,817131.31,24,stable
100,32,Male,Urban,46020.5,16808.46,265067.88,0.19,2,82.07,1,1,35924.12,43077.47,912451.94,6,stable
101,20,Male,Urban,65754.32,33408.45,395556.92,0.71,7,34.17,0,0,6923.3,144470.08,353741.78,29,stable
102,30,Male,Rural,54624.34,26858.35,363643.57,0.11,4,24.38,4,1,74768.77,399725.64,613193.65,23,stable
103,31,Female,Semi-Urban,45018.87,14323.61,234160.95,0.14,3,66.28,3,1,52489.77,71381.05,730328.59,45,stable
104,26,Male,Semi-Urban,66117.22,11349.85,197465.16,0.64,4,19.43,0,2,92090.3,308236.18,645056.1,6,stable
105,33,Female,Rural,55510.91,19573.43,233697.43,0.21,3,69.67,1,2,13481.13,236638.21,173823.19,50,stable
106,39,Male,Urban,52198.09,26202.39,327952.21,0.67,3,4.97,4,1,41771.64,153346.8,173409.27,13,stable
107,53,Male,Semi-Urban,42796.79,11106.28,159083.39,0.05,7,7.17,3,0,44958.83,495484.49,690612.65,56,stable
108,36,Male,Semi-Urban,79677.39,50242.71,527600.75,0.06,2,26.02,3,1,38305.68,354060.65,268381.05,37,stable
109,37,Female,Semi-Urban,35135.25,10667.36,194757.17,0.33,2,28.46,1,0,18278.85,190696.85,418754.92,24,stable
110,34,Female,Semi-Urban,44664.04,9951.86,117288.91,0.84,4,84.73,4,1,45065.04,108489.19,273985.78,51,increase
111,18,Female,Urban,44722.61,15748.85,293501.84,0.13,3,21.86,0,1,99843.5,170022.0,204608.85,17,stable
112,34,Male,Semi-Urban,47229.02,11457.66,188636.43,0.4,1,35.31,2,1,33738.36,492226.45,205531.93,48,stable
113,35,Female,Rural,58991.55,21993.8,187822.22,0.95,3,3.73,4,0,91557.07,81131.69,563733.55,46,stable
114,59,Male,Rural,56430.05,8646.85,120626.06,0.22,4,47.45,5,0,13963.82,479939.31,89060.57,34,stable
115,33,Male,Semi-Urban,58357.83,21152.99,315274.63,0.07,2,79.24,1,1,99996.14,184595.41,402534.17,2,stable
116,38,Female,Urban,48676.85,26438.38,275451.92,0.47,3,93.01,3,3,38369.64,494882.74,696263.02,36,stable
117,34,Male,Semi-Urban,67337.87,18139.77,266952.11,0.09,3,22.83,3,1,31958.55,349644.68,277219.91,50,stable
118,23,Female,Semi-Urban,38386.41,26506.97,167939.57,0.1,5,7.1,1,2,76099.68,431027.55,237779.53,31,stable
119,46,Male,Semi-Urban,37328.68,7869.74,56687.01,0.22,5,30.73,1,4,58038.0,443113.96,706083.0,31,stable
120,42,Male,Rural,31694.05,9698.1,131772.35,0.2,5,61.54,2,1,29431.41,163546.01,274307.57,11,stable
121,42,Male,Rural,43397.8,17150.3,183350.08,0.67,5,80.36,4,0,16891.83,82807.73,775072.84,1,stable
122,25,Male,Urban,51501.74,31212.82,277810.97,0.61,6,91.09,5,1,1112.31,472138.55,951924.73,53,stable
123,49,Male,Semi-Urban,41584.57,15006.08,48013.8,0.92,4,78.99,0,2,82405.27,261381.73,896346.29,10,stable
124,20,Female,Semi-Urban,42480.93,22998.44,453327.6,0.93,4,52.82,1,1,94425.95,295191.78,294481.6,39,stable
125,40,Male,Semi-Urban,66648.02,7265.22,44334.41,0.17,0,16.86,2,1,56250.18,223704.29,505104.73,45,stable
126,56,Male,Semi-Urban,39679.19,4577.04,60436.25,0.72,5,26.99,1,1,71429.06,355172.12,583868.08,13,stable
127,25,Female,Rural,45251.91,5555.51,90323.34,0.97,1,84.84,3,1,30493.14,425592.87,85274.66,19,increase
128,29,Female,Urban,55693.36,6343.04,70687.75,0.62,2,96.97,4,0,22942.99,296188.5,278178.02,31,increase
129,35,Male,Rural,24979.43,5562.55,69110.54,0.86,5,4.38,3,0,24790.74,292661.65,485952.83,57,stable
130,29,Female,Semi-Urban,32016.03,14649.12,169414.9,0.93,3,16.3,2,1,76302.69,121195.91,567862.29,12,stable
131,19,Male,Rural,61390.61,35252.72,474417.82,0.2,1,44.26,1,2,84482.83,327693.88,499029.81,4,stable
132,35,Female,Urban,22298.62,9824.29,93274.53,0.95,4,18.81,1,0,90701.48,119634.53,84836.27,6,stable
133,24,Female,Semi-Urban,27837.58,4141.75,34832.85,0.76,5,40.55,2,2,52276.35,99000.5,350831.41,24,stable
134,39,Male,Semi-Urban,25107.24,13110.33,258707.88,0.4,2,88.81,2,1,1083.48,313375.95,162761.43,44,stable
135,25,Female,Rural,44728.01,19312.45,168457.8,0.32,3,14.19,1,3,79667.92,245376.9,496216.66,12,stable
136,50,Male,Rural,30834.82,8933.28,89636.96,0.45,6,21.79,6,3,60547.76,141308.82,184597.15,55,stable
137,27,Male,Rural,37275.09,7681.76,37772.02,0.88,2,6.6,2,0,21559.0,369935.04,650977.74,58,stable
138,31,Male,Urban,67341.09,10007.09,169016.61,0.52,3,28.06,1,1,59067.65,238481.18,456637.4,15,stable
139,43,Female,Urban,46923.62,18621.04,296554.41,0.23,4,19.47,3,1,15475.14,150918.52,261710.98,9,stable
140,22,Male,Urban,53290.3,32225.29,489006.02,0.75,4,15.45,3,1,57353.85,410683.92,762050.54,31,stable
141,37,Female,Semi-Urban,55320.71,8874.1,156514.79,0.46,5,60.21,1,0,49619.59,228804.37,529485.69,57,stable
142,48,Male,Semi-Urban,65931.45,10789.76,25185.17,0.55,3,65.8,0,0,5048.85,397987.71,402064.81,32,stable
143,18,Female,Rural,42759.95,11318.06,26295.81,0.3,3,85.49,2,0,64432.46,124656.97,696486.79,1,increase
144,36,Female,Semi-Urban,48812.61,16011.15,313618.27,0.2,1,5.28,0,2,11710.82,292590.07,947882.36,46,stable
145,37,Female,Urban,46536.33,32379.45,176691.86,0.56,3,10.21,2,0,12645.76,357583.28,752697.77,36,stable
146,42,Female,Semi-Urban,34914.63,14790.35,265800.95,0.02,1,25.26,1,0,75104.53,81161.83,601307.05,0,stable
147,22,Male,Rural,47600.68,28409.63,463138.28,0.44,3,63.59,1,1,87902.69,365643.28,69160.93,15,stable
148,21,Male,Rural,54563.32,12837.66,145801.79,0.23,2,94.94,2,0,81656.8,107568.76,242413.18,52,increase
149,40,Male,Rural,62989.37,40691.0,112874.95,0.59,4,94.49,2,5,29511.63,368176.95,107169.93,4,stable
150,37,Male,Rural,36796.38,20101.68,114580.76,0.94,1,35.58,2,0,36933.51,215656.12,691318.49,23,stable
151,37,Female,Semi-Urban,66295.65,19927.14,63701.31,0.91,1,16.57,2,0,11962.07,266704.86,896651.11,10,stable
152,38,Male,Rural,44070.01,24354.28,389954.43,0.5,2,33.81,0,0,3251.68,45788.69,777969.14,9,stable
153,28,Female,Semi-Urban,68450.74,43254.72,478467.66,0.51,3,35.52,2,0,12978.94,431928.07,837531.04,0,stable
154,37,Female,Rural,49568.15,15648.31,309151.1,0.06,3,85.12,1,0,61007.65,106832.38,279753.92,39,stable
155,37,Male,Rural,54149.57,32433.92,378192.62,0.29,3,26.07,4,2,6009.01,16449.42,580495.48,25,stable
156,27,Male,Semi-Urban,44259.4,16247.17,65517.35,0.52,2,44.98,3,0,53417.84,479001.58,415411.63,8,stable
157,53,Male,Urban,73441.06,40189.07,153065.65,0.53,0,86.98,4,0,93647.41,96992.05,692754.78,41,stable
158,39,Male,Urban,36595.62,10123.32,115719.64,0.43,3,31.83,4,2,74690.32,58739.95,329970.32,42,stable
159,23,Male,Urban,65433.49,33664.84,421209.25,0.58,3,16.13,0,1,74051.35,274470.92,304054.78,35,stable
160,41,Female,Urban,33364.32,20874.85,100006.4,0.87,5,46.87,2,0,51862.3,499946.56,229452.35,34,stable
161,25,Male,Rural,39857.07,15455.8,73557.99,0.71,4,70.8,3,1,93048.92,467974.41,66354.04,25,stable
162,42,Male,Semi-Urban,75413.54,42767.72,790035.55,0.32,2,16.76,1,2,82448.11,295669.72,619809.56,23,stable
163,46,Male,Urban,59484.74,25822.71,444195.12,0.58,1,9.26,2,2,63028.23,1550.91,904085.67,22,stable
164,26,Female,Rural,54042.66,32937.48,71856.58,0.28,4,15.95,3,0,64375.8,80773.27,275459.21,43,stable
165,44,Male,Semi-Urban,53020.29,12845.81,198303.68,0.0,1,25.89,1,0,4326.37,10474.26,297453.85,22,stable
166,39,Female,Rural,66683.31,7604.36,87352.7,0.99,2,12.19,2,0,63898.47,421241.99,863705.06,50,stable
167,43,Female,Urban,55511.82,27874.47,379490.22,0.08,2,62.2,4,1,12791.78,199779.36,864158.07,50,stable
168,53,Female,Semi-Urban,50497.92,28594.74,77603.12,0.33,3,77.63,1,0,49333.85,125958.23,811964.11,16,stable
169,32,Male,Semi-Urban,56933.35,8376.15,82706.31,0.96,2,27.24,8,1,96999.57,272507.82,74045.58,32,stable
170,27,Female,Rural,47034.28,23290.93,244999.73,0.78,3,38.47,2,0,66715.11,76456.55,833271.39,59,stable
171,26,Female,Rural,44027.33,9960.67,42893.27,0.52,6,36.8,6,1,18182.56,459935.25,627700.29,16,stable
172,26,Female,Semi-Urban,39262.05,27243.18,510278.17,0.08,3,53.59,1,0,36056.79,303437.3,360116.61,51,stable
173,34,Male,Urban,34213.67,19491.82,43130.7,0.96,1,82.37,1,2,16164.49,60879.22,323879.58,16,stable
174,38,Female,Urban,56908.65,10969.91,40444.0,0.05,4,65.07,4,0,88982.43,238826.77,457950.67,42,stable
175,37,Male,Semi-Urban,47563.33,18312.42,224125.52,0.93,2,67.36,3,1,60986.38,87774.84,676350.51,30,stable
176,43,Female,Semi-Urban,25571.53,14642.12,30424.81,0.01,5,29.98,0,0,53908.65,443064.32,537860.91,13,stable
177,35,Female,Urban,44059.9,18199.18,361909.0,0.58,4,94.47,4,0,78795.39,292547.22,410616.28,24,stable
178,49,Male,Urban,54359.09,37356.3,94751.95,0.3,5,27.14,2,1,29993.0,101784.9,567042.03,56,stable
179,32,Female,Rural,39603.62,14240.44,190160.54,0.44,5,94.18,2,0,14376.42,466759.29,55563.48,26,stable
180,62,Female,Rural,54345.21,34353.22,292262.24,0.95,4,9.53,5,0,19221.4,305166.91,699420.38,42,stable
181,41,Female,Urban,16455.57,2557.38,10295.22,0.58,1,81.76,1,4,18038.56,39739.04,842607.08,40,increase
182,26,Male,Semi-Urban,73374.76,31507.88,552560.27,0.95,4,51.88,1,0,5727.15,47832.09,213642.18,23,stable
183,24,Male,Semi-Urban,54061.94,37690.15,445768.0,0.17,4,53.56,2,2,20819.18,1813.47,172730.95,59,stable
184,39,Male,Rural,21137.2,10719.78,150951.87,0.21,0,93.02,0,1,74861.81,321307.16,568590.69,58,stable
185,32,Female,Semi-Urban,10000.0,1922.95,31062.46,0.57,7,5.26,2,2,42912.95,254628.87,829689.02,11,stable
186,42,Female,Semi-Urban,53637.82,26624.27,317835.94,0.04,2,14.55,1,0,78835.75,168791.35,443073.32,49,stable
187,39,Female,Semi-Urban,35880.75,12745.32,83359.67,0.1,5,89.39,4,1,65167.7,294001.97,57142.68,26,stable
188,34,Male,Semi-Urban,54546.87,28500.72,217143.9,0.97,2,12.82,1,1,95275.74,107061.73,893208.88,49,stable
189,26,Male,Rural,62612.27,19463.57,328168.54,0.1,5,23.61,3,4,78352.53,27482.42,655177.73,38,stable
190,19,Male,Semi-Urban,38343.38,15208.24,245625.92,0.76,5,7.75,1,1,16979.8,463028.04,328422.32,56,stable
191,30,Female,Urban,61019.53,14052.67,31757.4,0.7,4,75.07,4,2,58989.27,350373.08,408043.47,38,increase
192,43,Male,Rural,63493.08,12481.85,155003.74,0.75,1,68.49,2,1,43149.78,104270.88,705249.88,6,stable
193,37,Male,Semi-Urban,56718.99,15832.25,246346.38,0.57,7,45.33,1,1,6190.87,469116.45,355933.08,11,stable
194,22,Female,Semi-Urban,69873.63,39512.95,150633.81,0.55,4,55.96,4,1,62988.17,481695.62,703515.08,45,stable
195,36,Male,Semi-Urban,36231.85,20870.67,272194.0,0.58,1,59.76,0,1,62846.96,137998.11,687757.56,41,stable
196,38,Female,Rural,29567.92,12599.53,130928.62,0.03,0,4.67,1,1,55374.96,107679.08,935392.11,23,stable
197,26,Female,Semi-Urban,25340.23,5373.84,31813.72,0.74,1,19.9,2,1,77303.22,213626.35,617035.9,24,stable
198,36,Male,Rural,50935.84,29821.67,401906.32,0.37,5,68.71,1,1,97726.65,117838.54,579378.69,12,stable
199,35,Male,Urban,56619.68,35113.56,259628.09,0.75,1,92.95,2,0,56440.72,332654.54,522400.15,2,stable
200,23,Female,Semi-Urban,59470.65,9598.93,53755.48,0.92,2,84.51,4,2,56172.06,105485.32,830700.71,45,increase
201,38,Male,Rural,49167.72,17137.54,172861.92,0.18,3,32.43,1,3,44662.98,231802.38,70426.86,31,stable
202,40,Female,Urban,54714.25,23558.76,302197.18,0.27,4,68.71,2,1,77706.13,296130.61,216610.28,46,stable
203,45,Male,Rural,54925.99,32051.98,313577.92,0.42,6,30.82,2,0,71073.71,264890.37,609263.29,38,stable
204,45,Male,Semi-Urban,56543.24,27100.15,498321.7,0.75,7,10.45,2,2,39367.97,352962.89,358608.0,49,stable
205,21,Female,Rural,57691.96,20032.43,364615.94,0.32,6,46.79,3,2,52350.14,312821.95,140249.26,0,stable
206,25,Female,Semi-Urban,63570.42,24040.07,207860.47,0.54,1,21.73,1,1,82688.02,70356.0,423352.6,5,stable
207,40,Male,Rural,31364.29,11209.99,65071.59,0.63,3,45.14,5,2,45075.82,79590.3,713446.05,37,stable
208,40,Male,Urban,39013.69,6871.17,125081.76,0.3,2,60.03,1,0,2039.39,292127.5,948452.83,47,stable
209,40,Female,Semi-Urban,57308.91,32759.79,311184.92,0.01,2,26.62,1,1,39071.7,363566.18,981758.13,26,stable
210,65,Male,Urban,25156.59,3483.76,26446.41,0.38,2,97.35,1,0,2483.62,447654.8,193870.04,30,increase
211,40,Male,Semi-Urban,47941.61,24528.51,472141.52,0.15,3,33.82,3,2,1946.16,87808.77,174675.2,41,stable
212,46,Male,Rural,65347.74,12537.08,136276.98,0.82,3,89.69,3,0,87264.95,370815.18,623150.29,54,increase
213,44,Female,Urban,72750.75,25574.5,453597.69,0.76,1,63.29,1,1,47371.86,66393.23,365624.9,32,stable
214,41,Male,Semi-Urban,59618.83,10294.81,22293.04,0.75,3,48.44,1,1,53805.87,262878.93,562168.87,14,stable
215,31,Male,Urban,55913.05,25427.81,75922.32,0.68,8,17.57,1,0,94799.13,328683.88,717733.84,11,stable
216,42,Male,Urban,64147.58,41104.78,436526.97,0.16,1,74.72,2,1,40521.96,431652.53,83388.83,60,stable
217,27,Female,Semi-Urban,56255.95,26174.81,359579.74,0.75,4,68.27,2,2,67387.01,333826.92,734954.3,33,stable
218,32,Female,Rural,59713.3,20054.27,213055.56,0.63,5,86.01,1,1,49942.15,392731.64,785048.85,12,stable
219,30,Male,Urban,78268.96,51873.26,546233.11,0.9,5,91.61,4,1,15586.44,236003.31,422293.49,32,stable
220,35,Female,Semi-Urban,50786.64,14113.6,112140.69,0.39,1,83.64,2,1,15803.4,331593.39,150469.28,54,increase
221,58,Female,Urban,46466.1,11783.31,120348.07,0.82,6,11.58,1,0,3140.39,280702.05,240254.12,15,stable
222,18,Male,Urban,69845.58,36960.62,628463.46,0.4,3,37.09,4,3,62744.56,222499.6,95882.74,54,stable
223,41,Male,Rural,48127.62,32443.81,509561.97,0.02,1,1.55,2,1,50168.93,72798.35,464631.04,41,stable
